1,1001,3
2,1002,3
3,1005,3
4,1004,3
5,1001,3
6,1004,3
7,1005,3
8,1001,3
9,1004,3
10,1005,3
11,1003,3
12,1004,3
13,1003,3
14,1002,3
15,1001,3
16,1003,3
17,1005,3
18,1004,3
19,1004,3
20,1004,3
21,1004,3
22,1002,3
23,1005,3
24,1003,3
25,1005,3
26,1004,3
27,1002,3
28,1003,3
29,1002,3
30,1001,3
31,1006,3
32,1004,3
33,1002,3
34,1003,3
35,1005,3
36,1003,3
37,1006,3
38,1004,3
39,1002,3
40,1006,3
41,1003,3
42,1002,3
43,1006,3
44,1004,3
45,1004,3
46,1003,3
47,1004,3
48,1007,3
49,1006,3
50,1003,3
51,1005,3
52,1008,3
53,1008,3
54,1004,3
55,1004,3
56,1005,3
57,1007,3
58,1006,3
59,1001,3
60,1009,3
61,1002,3
62,1,3
63,2,3
64,1,3
65,1,3
66,1,3
67,0,3
68,0,3
69,0,3
70,1007,3
71,1008,3
72,1008,3
73,1009,3
74,1008,3
75,1009,3
76,1007,3
